Organization legal name or 'doing business as' name,Group PAC ID,State,ACO PC ID 1,ACO Name 1,ACO PC ID 2,ACO Name 2,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Denominator Count,Star Value,Five Star Benchmark,Footnote,Collection Type,Reported on PC Live Site
"DAVIS RADIOLOGY, P.C.",0143125997,IA,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,8234,,,,REG,N
DIAGNOSTIC IMAGING ASSOCIATES LLC,0143127241,CT,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,87,267,,,,REG,N
DIAGNOSTIC IMAGING ASSOCIATES LLC,0143127241,CT,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,1,5078,,,,REG,N
DIAGNOSTIC IMAGING ASSOCIATES LLC,0143127241,CT,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,63,204,,,,REG,N
DIAGNOSTIC IMAGING ASSOCIATES LLC,0143127241,CT,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,5078,,,,REG,N
DIAGNOSTIC IMAGING ASSOCIATES LLC,0143127241,CT,,,,,Y,QCDR_GRP_ACRad14_1,Participation in a National Dose Index Registry,N,98,2177,,,,QCDR,Y
DIAGNOSTIC IMAGING OF SOUTHBURY,0143127548,CT,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,93,196,,,,REG,N
DIAGNOSTIC IMAGING OF SOUTHBURY,0143127548,CT,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,1,4260,,,,REG,N
DIAGNOSTIC IMAGING OF SOUTHBURY,0143127548,CT,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,61,363,,,,REG,N
DIAGNOSTIC IMAGING OF SOUTHBURY,0143127548,CT,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,4260,,,,REG,N
DIAGNOSTIC IMAGING OF SOUTHBURY,0143127548,CT,,,,,Y,QCDR_GRP_ACRad14_1,Participation in a National Dose Index Registry,N,100,853,,,,QCDR,Y
"PROGRESSIVE IMAGING MEDICAL ASSOCIATES, INC.",0143127704,CA,,,,,,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,66,197,,,,REG,N
"PROGRESSIVE IMAGING MEDICAL ASSOCIATES, INC.",0143127704,CA,,,,,,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,69,32,,,,REG,N
CENTRAL FLORIDA HEALTH CARE INC,0143127951,FL,A33196,"Allcare Options, LLC",,,Y,,,,,,,,,,
REGENTS OF THE UNIVERSITY OF CALIF,0143128009,CA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,84,1455,3,100,,REG,Y
REGENTS OF THE UNIVERSITY OF CALIF,0143128009,CA,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,59,1290,3,100,,REG,Y
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,0,3167,,,,REG,N
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,100,347,,,,REG,N
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,99,1451,,,,REG,N
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,3167,,,,REG,N
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,95,350,,,,REG,N
EYECARE OPHTHALMOLOGY PC,0143133256,NY,A22038,Northwell Health ACO,,,Y,,,,,,,,,,
ST CLOUD MEDICAL GROUP PA,0143133389,MN,A87886,"Integrity Health Innovations, LLC",,,Y,,,,,,,,,,
"HIGHLANDS PODIATRY, P.L.C.",0143133884,VA,A22066,"Qualuable Medical Professionals, LLC",,,Y,,,,,,,,,,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,69,245,4,87,,WI,Y
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,46,255,2,93,,WI,Y
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,32,249,2,84,,WI,Y
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,18,232,1,80,,WI,Y
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,77,160,,,,WI,N
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,62,256,3,93,,WI,Y
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,93,1320,,,,WI,N
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,20,245,1,93,,WI,Y
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,96,110,,,,WI,N
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,68,247,,,,WI,N
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,37,248,2,99,,WI,Y
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,83,206,,,,REG,N
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,0,4716,,,,REG,N
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,76,486,,,,REG,N
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,94,2266,,,,REG,N
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,4716,,,,REG,N
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,93,1247,,,,REG,N
AVERA ST MARYS,0143134965,SD,A59816,Prairie Hills Care Organization,,,Y,,,,,,,,,,
SOUTHWESTERN VERMONT MEDICAL CENTER INC,0143138446,VT,A32930,"OneCare Vermont Accountable Care Organization, LLC",,,Y,,,,,,,,,,
"MOUNTAIN AREA HEALTH EDUCATION CENTER, INC",0143206599,NC,A39107,"Mission Health Partners, Inc.",,,Y,,,,,,,,,,
GARRISON MEMORIAL HOSPITAL,0143206946,ND,A48401,PrimeCare Select,,,Y,,,,,,,,,,
JOSEPH H KUEL MD INC,0143207373,CA,A45364,"APCN-ACO, A MEDICAL PROFESSIONAL CORPORATION",,,Y,,,,,,,,,,
SOUTHERN MAINE HEALTH CARE,0143208348,ME,A14573,MaineHealth Accountable Care Organization,,,Y,,,,,,,,,,
"MARIETTA EYE CLINIC, PA",0143210427,GA,A67345,"WellStar Health Network, LLC",,,Y,,,,,,,,,,
ITELD BERNSTEIN AND ASSOCIATES LLC,0143212662,LA,A73340,"Ochsner Accountable Care Network, LLC",,,Y,,,,,,,,,,
PENOBSCOT COMMUNITY HEALTH CENTER,0143212670,ME,A65119,"Community Care Partnership of Maine, LLC",,,Y,,,,,,,,,,
ORION FAMILY PHYSICIANS PC,0143212712,MI,A55185,POM ACO,,,Y,,,,,,,,,,
"CENTRAL ARIZONA UROLOGISTS, LTD",0143219816,AZ,A91115,"John C. Lincoln Accountable Care Organization, LLC",,,Y,,,,,,,,,,
BELMONT MEDICAL ASSOCIATES PLLC,0143222901,NC,NG457,"Triad HealthCare Network, LLC",,,Y,,,,,,,,,,
THE FAMILY CLINIC INC,0143225748,LA,A18013,"Aledade Louisiana ACO, LLC",,,Y,,,,,,,,,,
WOMENS HEALTH LLP,0143227793,TX,A07425,"Covenant ACO, Inc.",,,Y,,,,,,,,,,
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,61,14253,,,,REG,N
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,66,526,,,,REG,N
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,88,4385,4,100,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,84,4170,4,100,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,,,,,Y,PQRS_GRP_71_1,Breast Cancer: Hormonal Therapy for Stage IC - IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,N,100,196,,,,REG,N
"UPSTATE COMMUNITY MEDICAL, PC",0143238782,NY,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,462,5,100,,REG,Y
"UPSTATE COMMUNITY MEDICAL, PC",0143238782,NY,,,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,100,38,5,100,,REG,Y
ALVAREZ and ORTHOPAEDIC ASSOCIATES,0143243873,MD,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,80,92,,,,REG,N
ALVAREZ and ORTHOPAEDIC ASSOCIATES,0143243873,MD,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,98,108,,,,REG,N
ALVAREZ and ORTHOPAEDIC ASSOCIATES,0143243873,MD,,,,,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,94,480,,,,REG,N
ALVAREZ and ORTHOPAEDIC ASSOCIATES,0143243873,MD,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,565,5,100,,REG,Y
ALVAREZ and ORTHOPAEDIC ASSOCIATES,0143243873,MD,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,1,459,4,0,,REG,Y
"PAUL B. LANG, M.D.P.C.",0143248070,NY,A22038,Northwell Health ACO,,,Y,,,,,,,,,,
AMEET GOYAL MD PC,0143249326,NY,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,564,,,,REG,N
AMEET GOYAL MD PC,0143249326,NY,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,580,,,,REG,N
EAST WOOD CLINIC PLLC,0143249839,TN,A57266,West Tennessee Clinical Partners,,,Y,,,,,,,,,,
ADVANCE OCCUPATIONAL and HAND THERAPY CENTER,0143251579,CA,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,142,,,,REG,N
ADVANCE OCCUPATIONAL and HAND THERAPY CENTER,0143251579,CA,,,,,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,96,26,,,,REG,N
ADVANCE OCCUPATIONAL and HAND THERAPY CENTER,0143251579,CA,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,99,142,,,,REG,N
ADVANCE OCCUPATIONAL and HAND THERAPY CENTER,0143251579,CA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,30,5,100,,REG,Y
WILLOW BEND FAMILY MEDICINE P.A.,0143257337,TX,A46995,UT Southwestern Accountable Care Network,,,Y,,,,,,,,,,
NORTHEAST EYE CARE INC,0143261560,MA,A21778,Lahey Clinical Performance ACO,,,Y,,,,,,,,,,
MIDMICHIGAN MEDICAL CENTER GLADWIN,0143262915,MI,,,,,Y,PQRS_GRP_121_1,Adult Kidney Disease: Laboratory Testing (Lipid Profile),N,71,34,,,,REG,N
MIDMICHIGAN MEDICAL CENTER GLADWIN,0143262915,MI,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,1323,5,100,,REG,Y
MIDMICHIGAN MEDICAL CENTER GLADWIN,0143262915,MI,,,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,92,350,4,100,,REG,Y
BRUCE A. DECOTIIS MD PA,0143282129,NJ,A69939,"Meridian Accountable Care Organization, LLC",,,Y,,,,,,,,,,
"MONMOUTH FAMILY HEALTH CENTER, INC",0143291674,NJ,A71489,Barnabas Health Care Network,,,Y,,,,,,,,,,
SUMMIT RADIOLOGY PC,0143295410,IN,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,0,22113,,,,REG,N
SUMMIT RADIOLOGY PC,0143295410,IN,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,100,6995,,,,REG,N
SUMMIT RADIOLOGY PC,0143295410,IN,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,91,22113,,,,REG,N
"BOSTON UNIVERSITY ORTHOPAEDIC SURGICAL ASSOCIATES, INC..",0143297655,MA,A79410,"BMC Integrated Care Services, Inc.",,,Y,,,,,,,,,,
UROLOGY ASSOCIATES LTD SC,0143298919,WI,A40070,"ProHealth Solutions, LLC",,,Y,,,,,,,,,,
TRAVIS C HOLCOMBE MD PC,0143304410,CA,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,100,30,,,,REG,N
TRAVIS C HOLCOMBE MD PC,0143304410,CA,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,44,,,,REG,N
TRAVIS C HOLCOMBE MD PC,0143304410,CA,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,31,,,,REG,N
TRAVIS C HOLCOMBE MD PC,0143304410,CA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,96,196,4,100,,REG,Y
TRAVIS C HOLCOMBE MD PC,0143304410,CA,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,18,190,1,100,,REG,Y
"RONALD VANDERLAAN, MD, PLLC",0143304667,MI,A55185,POM ACO,,,Y,,,,,,,,,,
BROADWAY INTERNAL MEDICINE ASSOCIATES P.C.,0143315804,NY,A22038,Northwell Health ACO,,,Y,,,,,,,,,,
"JAMES M. BURY, MD, LTD.",0143317099,WI,A18256,"Accountable Care Coalition of Southeast Wisconsin, LLC",,,Y,,,,,,,,,,
PLASTIC SURGERY OF GREATER HARTFORD LLC,0143317339,CT,A83092,Saint Francis HealthCare Partners ACO Inc.,,,Y,,,,,,,,,,
"PAIN and SPINE SPECIALISTS OF CONNECTICUT,  LLC",0143323063,CT,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,84,17986,,,,REG,N
"PAIN and SPINE SPECIALISTS OF CONNECTICUT,  LLC",0143323063,CT,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,30,521,,,,REG,N
"PAIN and SPINE SPECIALISTS OF CONNECTICUT,  LLC",0143323063,CT,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,94,232,,,,REG,N
"PAIN and SPINE SPECIALISTS OF CONNECTICUT,  LLC",0143323063,CT,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,92,2637,4,100,,REG,Y
"PAIN and SPINE SPECIALISTS OF CONNECTICUT,  LLC",0143323063,CT,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,15,1427,3,0,,REG,Y
"PAIN and SPINE SPECIALISTS OF CONNECTICUT,  LLC",0143323063,CT,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,77,1513,4,100,,REG,Y
"FOCUS OCCUPATIONAL THERAPY, PC",0143356014,NY,A21965,"Asian American Accountable Care Organization, LLC",,,Y,,,,,,,,,,
PREMIER CARDIOLOGY INC,0143365536,CA,NG458,"MemorialCare Regional ACO, LLC",,,Y,,,,,,,,,,
UNION PHYSICIAN SERVICES LLC,0143366591,OH,A03133,"Integrated Health Collaborative, LLC",,,Y,,,,,,,,,,
"GASTROENTEROLOGY PRACTICE ASSOCIATES, PLLC",0143367342,TX,A07527,"Premier Patient Healthcare, LLC",,,Y,,,,,,,,,,
MAKOVICKA HARMS GROUP PC,0143374124,NE,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,781,,,,REG,N
MAKOVICKA HARMS GROUP PC,0143374124,NE,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,94,170,,,,REG,N
MAKOVICKA HARMS GROUP PC,0143374124,NE,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,95,169,,,,REG,N
MAKOVICKA HARMS GROUP PC,0143374124,NE,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,794,,,,REG,N
CAROLINAEAST PHYSICIANS,0143378117,NC,,,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,85,6277,3,100,,REG,Y
PALMETTO PODIATRY INSTITUTE P A,0143378182,FL,NG443,"Baroma Accountable Care, LLC.",,,Y,,,,,,,,,,
"NORTHERN ALABAMA PHYSICIANS, LLP",0143379388,AL,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,95,3337,4,100,,REG,Y
ALLIANCE COMMUNITY MEDICAL FOUNDATION LLC,0143386391,OH,A24144,"Physicians Accountable Care Solutions, LLC",,,Y,,,,,,,,,,
CENTRAL PARK PODIATRY PC,0143387126,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
CandR MEDICAL GROUP SC,0143387431,IL,A28708,"Advocate Physician Partners Accountable Care, Inc.",,,Y,,,,,,,,,,
FOREST FAMILY PRACTICE CLINIC PA,0143388876,MS,A93261,"Rural Solutions, LLC",,,Y,,,,,,,,,,
INTERNAL MEDICINE ASSOCIATES OF PLANO PA,0143395343,TX,A46995,UT Southwestern Accountable Care Network,,,Y,,,,,,,,,,
"KATHERINE L. WILLIAMS, MD APMC",0143414052,LA,A73340,"Ochsner Accountable Care Network, LLC",,,Y,,,,,,,,,,
KIRK BRODY MD PC,0143454348,TN,A07433,"Mission Health Care Network, LLC",,,Y,,,,,,,,,,
"CENTER FOR DYNAMIC AGING, LLC",0143464396,NJ,A38167,"North Jersey ACO, LLC",,,Y,,,,,,,,,,
AMY J BURKE MD PC,0143465419,NY,A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",,,Y,,,,,,,,,,
MOUNTAIN FAMILY PRACTICE CLINIC OF MANCHESTER INC,0143465617,KY,A53342,"Eastern Kentucky Clinical Partners, LLC",,,Y,,,,,,,,,,
LAURA K GANGER MD PC,0143472373,MI,A55185,POM ACO,,,Y,,,,,,,,,,
NAPERBROOK MEDICAL CENTER,0143481424,IL,A28708,"Advocate Physician Partners Accountable Care, Inc.",,,Y,,,,,,,,,,
SCRANTON QUINCY CLINIC COMPANY LLC,0143487389,PA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,63,2072,2,100,,REG,Y
VALLEY SKIN SPECIALISTS,0143494203,VA,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,96,27,,,,REG,N
VALLEY SKIN SPECIALISTS,0143494203,VA,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,51,,,,REG,N
VALLEY SKIN SPECIALISTS,0143494203,VA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,84,4188,3,100,,REG,Y
VALLEY SKIN SPECIALISTS,0143494203,VA,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,1,3682,4,0,,REG,Y
VALLEY SKIN SPECIALISTS,0143494203,VA,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,71,525,,,,REG,N
"FULL RANGE PHYSICAL THERAPY, LLC",0143515726,NV,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,122,,,,REG,N
"FULL RANGE PHYSICAL THERAPY, LLC",0143515726,NV,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,97,33,,,,REG,N
"FULL RANGE PHYSICAL THERAPY, LLC",0143515726,NV,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,100,33,,,,REG,N
"FULL RANGE PHYSICAL THERAPY, LLC",0143515726,NV,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,122,,,,REG,N
"LAREDO HM PHYSICIAN SERVICES, PA",0143525451,TX,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,100,682,5,100,,REG,Y
"BLUE WATER PAIN SOLUTIONS, PA",0143547232,FL,A46189,"PremierMD ACO, LLC",,,Y,,,,,,,,,,
DERMATOLOGY LTD,0244120756,PA,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,86,761,,,,REG,N
DERMATOLOGY LTD,0244120756,PA,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,79,58,,,,REG,N
DERMATOLOGY LTD,0244120756,PA,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,668,,,,REG,N
DERMATOLOGY LTD,0244120756,PA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,93,5154,4,100,,REG,Y
DERMATOLOGY LTD,0244120756,PA,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,77,164,,,,REG,N
DERMATOLOGY LTD,0244120756,PA,,,,,Y,PQRS_GRP_397_1,Melanoma Reporting,N,65,20,,,,REG,N
"WADING RIVER PHYSICAL THERAPY, PC",0244122190,NY,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,286,,,,REG,N
"WADING RIVER PHYSICAL THERAPY, PC",0244122190,NY,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,296,,,,REG,N
UNITY HEALTHCARE LLC,0244123362,IN,A88553,"Franciscan ACO, Inc.",,,Y,,,,,,,,,,
COUNTY OF SWEETWATER,0244124550,WY,,,,,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,24,,,,REG,N
COUNTY OF SWEETWATER,0244124550,WY,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,81,36,,,,REG,N
AFFILIATED CLINICAL SERVICES INC,0244124899,WI,,,,,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,99,160,,,,REG,N
AFFILIATED CLINICAL SERVICES INC,0244124899,WI,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,212,5,100,,REG,Y
AFFILIATED CLINICAL SERVICES INC,0244124899,WI,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,12,113,4,0,,REG,Y
AFFILIATED CLINICAL SERVICES INC,0244124899,WI,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,98,131,4,100,,REG,Y
"TYSON, SCHWAB, SHORT and WEISS PSC",0244125862,KY,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,100,5972,,,,REG,N
"TYSON, SCHWAB, SHORT and WEISS PSC",0244125862,KY,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,90,965,,,,REG,N
"TYSON, SCHWAB, SHORT and WEISS PSC",0244125862,KY,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,100,3408,,,,REG,N
"TYSON, SCHWAB, SHORT and WEISS PSC",0244125862,KY,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,24630,,,,REG,N
"TYSON, SCHWAB, SHORT and WEISS PSC",0244125862,KY,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,100,838,,,,REG,N
ORTHOPAEDIC and SPINE CENTER OF THE ROCKIES PC,0244126365,CO,,,,,Y,PQRS_GRP_109_1,Osteoarthritis (OA): Function and Pain Assessment,N,77,7685,,,,REG,N
ORTHOPAEDIC and SPINE CENTER OF THE ROCKIES PC,0244126365,CO,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,21639,,,,REG,N
ORTHOPAEDIC and SPINE CENTER OF THE ROCKIES PC,0244126365,CO,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,100,127,,,,REG,N
ORTHOPAEDIC and SPINE CENTER OF THE ROCKIES PC,0244126365,CO,,,,,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic - First OR Second Generation Cephalosporin,N,100,2007,,,,REG,N
ORTHOPAEDIC and SPINE CENTER OF THE ROCKIES PC,0244126365,CO,,,,,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,2007,,,,REG,N
